theaterCode,hallCode,theaterCode,hallName,hallImage,isSeatplan,searchNum
FC000127,05,고양아람누리,갤러리누리,,false,0
FC000134,01,양주문화예술회관,소공연장,,false,0
FC000134,02,양주문화예술회관,대공연장 (체육관),,false,0
FC000134,03,양주문화예술회관,야외공연장,,false,0
FC000136,01,수정청소년수련관,공연장,,false,0
FC000137,01,한국예술종합학교,예술소극장,,false,0
FC000137,02,한국예술종합학교,예술극장,,false,0
FC000138,01,성미산마을극장 향,,,false,0
FC000139,01,JTN 아트홀,2관,,false,0
FC000139,02,JTN 아트홀,1관,,false,0
FC000139,03,JTN 아트홀,4관,,false,0
FC000139,04,JTN 아트홀,3관,,false,0
FC000142,01,연천수레울아트홀,소공연장,,false,0
FC000142,02,연천수레울아트홀,대공연장,,false,0
FC000145,01,오산문화예술회관,대공연장,,false,0
FC000145,02,오산문화예술회관,소공연장,,false,0
FC000149,01,시흥시 여성비전센터,대강당,,false,0
FC000152,01,한성아트홀,2관,,false,0
FC000152,02,한성아트홀,1관,,false,0
FC000155,01,잡월드 나래울극장,,,false,0
FC000156,01,능동 어린이회관,무지개극장,,false,0
FC000156,02,능동 어린이회관,이벤트홀,,false,0
FC000158,01,인천중구문화회관,,,false,0
FC000160,01,금정문화회관,대공연장,,false,0
FC000160,02,금정문화회관,소공연장,,false,0
FC000160,03,금정문화회관,야외공연장,,false,0
FC000161,01,민속극장풍류,,,false,0
FC000164,01,동래문화회관,대극장,,false,0
FC000164,02,동래문화회관,소극장,,false,0
FC000164,03,동래문화회관,야외공연장,,false,0
FC000166,01,해남문화예술회관,대공연장,,false,0
FC000166,02,해남문화예술회관,야외공연장,,false,0
FC000167,01,부산문화회관,대극장,,false,0
FC000167,02,부산문화회관,사랑채극장 (소극장),,false,0
FC000167,03,부산문화회관,중극장,,false,0
FC000167,04,부산문화회관,챔버홀,,false,0
FC000168,01,예림당아트홀,,,false,0
FC000170,01,코엑스,아티움,,false,0
FC000170,02,코엑스,아트홀,,false,0
FC000170,03,코엑스,오디토리움,,false,0
FC000170,04,코엑스,컨퍼런스룸 (남),,false,0
FC000170,06,코엑스,K팝 광장 (동문),,false,0
FC000170,07,코엑스,D홀,,false,0
FC000170,08,코엑스,그랜드볼룸,,false,0
FC000170,09,코엑스,Hall C,,false,0
FC000174,01,대전컨벤션센터,컴퍼런스홀,,false,0
FC000174,02,대전컨벤션센터,전시홀 (컨벤션홀),,false,0
FC000175,01,(재)영화의전당,하늘연극장,,false,0
FC000175,02,(재)영화의전당,비프씨어터,,false,0
FC000175,03,(재)영화의전당,인디플러스,,false,0
FC000178,01,을숙도문화회관,대공연장,,false,0
FC000178,02,을숙도문화회관,소공연장,,false,0
FC000180,01,나온씨어터,,,false,0
FC000182,01,예술나눔 터,,,false,0
FC000183,01,웃는얼굴아트센터,청룡홀,,false,0
FC000183,02,웃는얼굴아트센터,와룡홀,,false,0
FC000183,03,웃는얼굴아트센터,야외공연장,,false,0
FC000184,01,암사어린이극장,,,false,0
FC000185,01,상상아트홀 [대전],,,false,0
FC000188,01,한양레퍼토리씨어터,,,false,0
FC000190,01,소리아트홀,1관,,false,0
FC000190,02,소리아트홀,2관,,false,0
FC000190,03,소리아트홀,3관,,false,0
FC000191,01,대구문화예술회관,비슬홀,,false,0
FC000191,02,대구문화예술회관,팔공홀,,false,0
FC000191,03,대구문화예술회관,코오롱야외음악당,,false,0
FC000194,01,경복궁아트홀,,,false,0
FC000195,01,청운예술극장,,,false,0
FC000196,01,대덕문화전당,,,false,0
FC000198,01,경향아트힐,4관,,false,0
FC000198,03,경향아트힐,6관,,false,0
FC000198,04,경향아트힐,1관,,false,0
FC000198,05,경향아트힐,2관,,false,0
FC000198,06,경향아트힐,썬앤문전용관,,false,0
FC000198,07,경향아트힐,5관,,false,0
FC000200,01,봉산문화회관,가온홀,,false,0
FC000200,02,봉산문화회관,스페이스라온,,false,0
FC000201,01,와팝홀,,,false,0
FC000204,01,수성아트피아,용지홀,,false,0
FC000204,02,수성아트피아,무학홀,,false,0
FC000205,01,예스 24 라이브홀,,,false,0
FC000210,01,신촌아트레온,무빙온 (갤러리콘서트홀),,false,0
FC000212,01,예술나무씨어터,,,false,0
FC000213,01,하나투어 브이홀,,,false,0
FC000214,01,남동소래아트홀,스튜디오제비,,false,0
FC000214,05,남동소래아트홀,소래극장,,false,0
FC000215,01,프라임아트홀,,,false,0
FC000216,01,부평아트센터,달누리극장,,false,0
FC000216,02,부평아트센터,해누리극장,,false,0
FC000218,01,도봉구민회관,대강당,,false,0
FC000218,02,도봉구민회관,소공연장,,false,0
FC000219,01,인천수봉문화회관,소극장,,false,0
FC000221,01,파랑새극장,1관,,false,0
FC000221,02,파랑새극장,2관,,false,0
FC000223,01,아트팩토리 청춘,,,false,0
FC000227,01,미마지아트센터,물빛극장,,false,0
FC000227,02,미마지아트센터,풀빛극장 (오아시스극장),,false,0
FC000227,03,미마지아트센터,눈빛극장,,false,0
FC000228,01,창동문화체육센터,공연장,,false,0
FC000233,01,광주문화예술회관,대극장,,false,0
FC000233,02,광주문화예술회관,소극장,,false,0
FC000236,01,광주서구문화센터,,,false,0
FC000238,01,양산문화예술회관,대공연장,,false,0
FC000238,02,양산문화예술회관,소공연장,,false,0
FC000240,01,국립과천과학관,어울림홀,,false,0
FC000241,01,의령군민문화회관,,,false,0
